,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y
0,0,1,1,1,1,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False,1,1,1
1,0,2,1,2,1,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,0,0,1
2,0,1,2,1,1,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False,1,1,1
3,0,1,3,1,1,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,0,1,0
4,0,1,1,1,1,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,0,0,1
5,1,1,1,2,1,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,0,0,1
6,3,1,1,1,1,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False,1,1,1
7,1,2,2,1,1,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False,1,0,1
8,0,2,1,1,1,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,1,1,1
9,2,1,1,1,1,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,0,1,1
10,1,3,1,3,1,44.41643835616439,19.44931506849315,1,0,0,0,3.0,False,0,0,1
11,2,2,2,1,1,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,0,0,1
12,0,4,1,4,1,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False,0,0,1
13,0,2,2,5,2,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False,0,0,1
14,0,2,1,2,2,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,0,0,1
15,0,2,2,1,1,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,0,0,0
16,1,1,1,1,1,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False,1,0,1
17,0,1,1,1,1,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False,0,1,1
18,0,1,1,1,1,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False,1,0,1
19,0,4,1,1,1,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,0,0,1
20,0,1,1,5,1,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,0,1,1
21,0,1,1,1,1,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,1,0,1
22,2,3,2,1,1,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,0,0,1
23,0,2,1,1,1,54.41369863013698,29.70684931506849,1,0,0,1,2.0,False,0,1,1
24,0,4,3,3,2,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False,0,0,0
25,2,1,2,1,1,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,0,0,1
26,0,1,1,2,1,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,False,1,0,1
27,0,1,1,3,1,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False,1,1,1
28,0,2,3,3,3,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False,0,1,1
29,1,3,2,1,1,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False,0,1,1
30,1,1,1,1,4,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False,1,0,1
31,0,1,2,3,1,27.572602739726022,8.693150684931506,1,0,0,1,2.0,False,0,0,1
32,0,1,1,1,1,56.24931506849315,15.6986301369863,1,0,0,0,2.0,False,1,0,1
33,2,2,2,1,1,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False,1,1,0
34,1,2,1,1,1,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False,0,0,1
35,0,1,2,5,1,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False,0,0,1
36,2,1,1,1,4,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False,1,1,1
37,0,2,2,5,4,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False,0,0,0
38,0,4,1,4,1,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,False,1,0,1
39,0,1,1,3,1,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False,0,0,0
40,0,1,2,1,1,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False,1,1,0
41,0,1,1,1,1,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False,0,0,0
42,0,1,1,1,1,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False,0,0,0
43,0,4,1,1,1,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0
44,0,1,3,1,5,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False,1,1,0
45,0,1,2,1,1,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False,0,0,0
46,0,3,1,1,1,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False,0,0,0
47,0,1,2,1,1,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False,0,0,0
48,0,1,1,1,1,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False,0,1,0
49,0,1,3,1,4,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False,1,1,0
50,0,1,2,5,3,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False,0,0,0
51,0,2,1,1,1,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False,0,0,0
52,1,1,1,1,1,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False,1,1,0
53,0,1,1,2,1,43.75342465753425,24.621917808219177,1,0,0,0,1.0,False,0,0,0
54,0,3,2,1,4,28.126027397260277,4.526027397260274,1,1,1,0,2.0,False,1,1,0
55,0,2,1,1,3,40.49589041095891,6.693150684931507,1,0,1,0,2.0,False,1,0,0
56,0,1,1,3,1,41.47945205479452,13.194520547945206,1,0,1,0,2.0,False,0,0,0
57,0,4,1,1,1,57.64657534246575,-1000.6657534246576,1,0,1,0,2.0,False,0,0,0
58,0,1,1,2,3,44.106849315068494,5.112328767123287,1,0,1,0,1.0,False,0,0,0
59,0,4,1,4,1,60.44109589041096,-1000.6657534246576,1,0,0,0,1.0,False,0,0,0
60,0,4,1,1,1,55.17808219178082,-1000.6657534246576,1,0,1,1,2.0,False,0,1,0
61,0,1,2,1,1,57.50958904109589,12.95068493150685,1,0,1,0,2.0,False,1,1,0
62,0,1,2,5,1,44.391780821917806,19.45205479452055,1,0,0,0,1.0,False,0,0,0
63,0,1,1,1,1,51.16164383561644,14.531506849315068,1,1,1,0,2.0,False,1,0,0
64,0,1,1,1,1,29.45205479452055,6.693150684931507,1,0,0,0,2.0,False,1,1,0
65,0,2,4,1,1,57.95890410958904,0.3561643835616438,1,0,1,0,2.0,False,1,0,0
66,0,2,1,1,1,53.95068493150685,14.446575342465753,1,1,1,0,2.0,False,0,0,0
67,0,2,2,3,1,40.73150684931507,1.6054794520547946,1,1,0,0,2.0,False,1,1,0
68,0,4,1,1,1,63.52602739726027,-1000.6657534246576,1,0,1,1,2.0,False,1,1,0
69,2,1,2,1,1,30.90684931506849,4.778082191780822,1,1,0,1,4.0,False,0,0,0
70,1,1,1,1,1,25.83561643835617,3.2739726027397262,1,1,0,0,3.0,False,1,1,0
71,0,3,2,1,1,40.32328767123288,15.282191780821918,1,0,1,0,2.0,False,0,0,0
72,0,3,2,2,1,30.252054794520543,8.695890410958905,1,0,0,0,1.0,False,1,0,0
73,1,1,2,3,1,34.26301369863014,1.356164383561644,1,1,0,0,3.0,False,0,0,0
74,0,2,1,1,1,56.44931506849315,0.6904109589041096,1,1,1,0,2.0,False,1,0,0
75,0,1,3,1,1,38.14520547945205,6.273972602739726,1,1,1,0,2.0,False,1,0,0
76,0,1,1,2,1,52.88767123287671,1.2712328767123289,1,1,1,0,1.0,False,0,0,0
77,0,1,1,2,5,22.416438356164385,3.608219178082192,1,1,0,0,1.0,False,1,0,0
78,0,4,1,1,1,64.32876712328768,-1000.6657534246576,1,0,0,0,2.0,False,0,0,0
79,0,3,2,1,1,47.32602739726028,3.6931506849315063,1,0,1,0,2.0,False,0,0,0
80,0,1,1,1,1,53.97808219178082,27.04109589041096,1,1,1,0,2.0,False,0,0,0
81,0,2,2,1,1,36.276712328767125,12.194520547945206,1,0,1,0,2.0,False,0,0,0
82,0,1,1,1,3,33.23287671232877,2.186301369863014,1,0,0,0,2.0,False,0,0,0
83,2,1,1,1,1,26.673972602739727,7.863013698630137,1,0,0,0,4.0,False,0,0,0
84,0,2,1,1,1,44.37260273972603,17.035616438356165,1,1,1,0,2.0,False,1,1,0
85,0,2,1,1,1,32.07123287671233,3.1890410958904107,1,1,0,1,2.0,False,1,1,0
86,0,1,2,1,1,44.10958904109589,13.531506849315068,1,0,1,0,2.0,False,0,0,0
87,0,1,3,1,1,46.26849315068493,7.361643835616438,1,0,0,0,2.0,False,0,0,0
88,2,1,3,1,1,34.14520547945205,5.945205479452055,1,1,0,0,4.0,False,1,1,0
89,1,1,1,5,5,32.87123287671233,3.1095890410958904,1,1,0,0,2.0,False,1,1,0
90,0,2,1,1,1,37.23287671232877,2.6904109589041094,1,0,1,0,2.0,False,0,1,0
91,0,2,1,1,1,42.53972602739726,4.778082191780822,1,1,1,0,2.0,False,0,1,0
92,0,2,1,3,1,51.54246575342466,26.70684931506849,1,0,0,0,2.0,False,0,0,0
93,0,4,1,4,1,55.62191780821918,-1000.6657534246576,1,0,1,0,1.0,False,0,0,0
94,0,1,1,1,1,41.515068493150686,8.610958904109589,1,1,1,0,2.0,False,1,1,0
95,0,4,1,1,1,58.4,-1000.6657534246576,1,0,0,0,2.0,False,0,0,0
96,0,1,1,5,1,32.00547945205479,1.8575342465753424,1,0,0,0,1.0,False,0,0,0
97,0,1,1,5,1,39.38082191780822,2.186301369863014,1,0,1,0,1.0,False,0,0,0
98,0,1,1,1,1,23.254794520547943,5.027397260273973,1,0,1,0,2.0,False,0,1,0
99,0,1,1,1,1,47.62465753424657,2.4383561643835616,1,1,1,0,2.0,False,0,1,0
100,0,2,2,1,1,36.86301369863013,7.528767123287671,1,1,1,0,2.0,False,0,1,0
101,1,1,1,1,1,35.26575342465753,10.191780821917808,1,1,0,0,3.0,False,0,0,0
102,2,1,1,1,1,33.635616438356166,2.6904109589041094,1,1,1,0,4.0,False,0,0,0
103,0,4,1,1,1,47.58082191780822,-1000.6657534246576,1,0,0,0,2.0,False,1,1,0
104,0,1,1,1,1,52.20821917808219,0.2712328767123287,1,1,0,0,2.0,False,1,1,0
105,0,1,1,1,1,52.89041095890411,9.03013698630137,1,1,0,0,2.0,False,0,0,0
106,0,1,1,1,1,52.89041095890411,9.03013698630137,1,1,0,0,2.0,True,0,0,0
107,0,1,1,1,1,27.095890410958905,5.608219178082192,1,0,1,0,2.0,False,0,0,0
108,0,4,1,1,1,58.701369863013696,-1000.6657534246576,1,0,1,0,2.0,False,0,0,0
109,0,2,1,2,4,23.257534246575343,2.5232876712328767,1,1,0,0,1.0,False,1,0,0
110,0,1,1,2,1,40.24383561643835,10.03013698630137,1,1,0,0,1.0,False,1,0,0
111,0,3,1,1,1,51.0958904109589,29.96164383561644,1,0,1,0,2.0,False,0,0,0
112,0,1,2,2,1,27.852054794520548,4.86027397260274,1,1,0,0,1.0,False,1,0,0
113,0,4,1,5,1,52.57808219178082,-1000.6657534246576,1,0,0,0,1.0,False,0,0,0
114,0,4,1,4,1,59.41917808219178,-1000.6657534246576,1,0,1,0,1.0,False,0,0,0
115,0,4,1,5,1,63.83287671232877,-1000.6657534246576,1,0,1,0,1.0,False,0,0,0
116,0,2,2,1,3,35.61369863013699,4.273972602739726,1,0,1,1,2.0,False,1,1,0
117,0,1,1,2,1,25.698630136986303,4.693150684931507,1,1,1,0,1.0,False,1,0,0
118,0,1,1,2,1,52.92054794520548,12.194520547945206,1,1,1,0,1.0,False,0,0,0
119,0,1,2,1,1,27.087671232876712,6.778082191780822,1,0,1,0,2.0,False,0,0,0
120,0,1,1,1,1,36.10410958904109,3.608219178082192,1,1,0,0,2.0,False,1,1,0
121,0,2,2,1,1,52.989041095890414,20.03835616438356,1,1,1,0,2.0,False,0,1,0
122,0,1,1,1,1,40.156164383561645,12.032876712328768,1,1,1,0,2.0,False,0,1,0
123,0,2,2,1,1,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,False,0,1,0
124,0,2,2,1,1,37.14246575342466,1.6054794520547946,1,1,1,0,2.0,True,0,1,0
125,0,1,2,2,1,24.895890410958906,4.608219178082192,1,0,0,0,1.0,False,1,1,0
126,0,1,1,5,1,38.67945205479453,8.695890410958905,1,0,0,0,1.0,False,1,0,0
127,2,3,2,1,3,40.83835616438356,18.7013698630137,1,1,0,0,4.0,False,1,1,0
128,0,4,1,4,1,60.27945205479452,-1000.6657534246576,1,0,1,0,1.0,False,0,0,0
129,0,1,2,1,1,42.28767123287671,10.863013698630136,1,1,1,0,2.0,False,0,1,0
130,1,1,1,1,1,32.364383561643834,8.947945205479453,1,1,1,0,3.0,False,0,0,0
131,0,1,1,1,1,40.77534246575343,14.95068493150685,1,0,1,0,2.0,False,0,1,0
132,0,1,1,1,1,43.175342465753424,1.0246575342465754,1,1,0,0,2.0,False,0,0,0
133,0,1,2,1,4,28.58904109589041,4.693150684931507,1,1,0,0,2.0,False,1,1,0
134,0,3,1,3,1,35.945205479452056,15.282191780821918,1,0,0,0,2.0,False,0,0,0
135,0,1,1,3,1,34.61917808219178,1.1095890410958904,1,0,0,0,2.0,False,1,1,0
136,0,2,1,5,1,49.12876712328767,4.027397260273973,1,0,0,0,1.0,False,0,0,0
